seq,name,n,cpu_ms,gpu_ms,kind
279,LOOKUP_READ_TAGS#279,1557,0.000,7.000,cpu-wins
280,W_4#280,30240,20.000,25.000,cpu-wins
281,LOOKUP_INVERSES#281,1557,0.000,7.000,cpu-wins
282,KERNEL_CALLDATA_INVERSES#282,2888,2.000,12.000,cpu-wins
283,FIRST_APP_CALLDATA_INVERSES#283,1557,0.000,8.000,cpu-wins
284,SECOND_APP_CALLDATA_INVERSES#284,1557,0.000,8.000,cpu-wins
285,THIRD_APP_CALLDATA_INVERSES#285,1557,0.000,9.000,cpu-wins
286,RETURN_DATA_INVERSES#286,1557,7.000,22.000,cpu-wins
287,Z_PERM#287,30240,38.000,47.000,cpu-wins
288,?#288,62,0.000,0.000,gpu-missing
289,?#289,5,1.000,0.000,gpu-missing
290,Gemini:FOLD_1#290,65536,51.000,53.000,cpu-wins
291,Gemini:FOLD_2#291,32768,29.000,21.000,gpu-wins
292,Gemini:FOLD_3#292,16384,19.000,19.000,cpu-wins
293,Gemini:FOLD_4#293,8192,18.000,16.000,gpu-wins
294,Gemini:FOLD_5#294,4096,13.000,16.000,cpu-wins
295,Gemini:FOLD_6#295,2048,6.000,14.000,cpu-wins
296,Gemini:FOLD_7#296,1024,5.000,13.000,cpu-wins
297,Gemini:FOLD_8#297,512,3.000,81.000,cpu-wins
298,Gemini:FOLD_9#298,256,2.000,12.000,cpu-wins
299,Gemini:FOLD_10#299,128,1.000,13.000,cpu-wins
300,Gemini:FOLD_11#300,64,1.000,16.000,cpu-wins
301,Gemini:FOLD_12#301,32,0.000,15.000,cpu-wins
302,Gemini:FOLD_13#302,16,1.000,15.000,cpu-wins
303,Gemini:FOLD_14#303,8,1.000,16.000,cpu-wins
304,Gemini:FOLD_15#304,4,0.000,16.000,cpu-wins
305,Gemini:FOLD_16#305,2,0.000,15.000,cpu-wins
306,Gemini:FOLD_17#306,1,1.000,15.000,cpu-wins
307,Gemini:FOLD_18#307,1,0.000,12.000,cpu-wins
308,Gemini:FOLD_19#308,1,0.000,11.000,cpu-wins
309,Gemini:FOLD_20#309,1,0.000,12.000,cpu-wins
310,Gemini:FOLD_21#310,1,0.000,12.000,cpu-wins
311,Gemini:FOLD_22#311,1,0.000,11.000,cpu-wins
312,Gemini:FOLD_23#312,1,0.000,11.000,cpu-wins
313,SHPLONK_BATCHED_QUOTIENT#313,88900,89.000,62.000,gpu-wins
314,?#314,88900,89.000,50.000,gpu-wins
315,COLUMN_0_0#315,0,0.000,0.000,cpu-wins
316,COLUMN_1_0#316,0,0.000,0.000,cpu-wins
317,COLUMN_2_0#317,0,0.000,0.000,cpu-wins
318,COLUMN_3_0#318,0,0.000,0.000,cpu-wins
319,COLUMN_0_1#319,140,1.000,11.000,cpu-wins
320,COLUMN_1_1#320,140,1.000,9.000,cpu-wins
321,COLUMN_2_1#321,140,2.000,8.000,cpu-wins
322,COLUMN_3_1#322,140,0.000,8.000,cpu-wins
323,COLUMN_0_2#323,0,0.000,0.000,cpu-wins
324,COLUMN_1_2#324,0,0.000,0.000,cpu-wins
325,COLUMN_2_2#325,0,0.000,0.000,cpu-wins
326,COLUMN_3_2#326,0,0.000,0.000,cpu-wins
327,COLUMN_0_3#327,298,2.000,15.000,cpu-wins
328,COLUMN_1_3#328,298,2.000,10.000,cpu-wins
329,COLUMN_2_3#329,298,2.000,9.000,cpu-wins
330,COLUMN_3_3#330,298,1.000,8.000,cpu-wins
331,COLUMN_0_4#331,0,0.000,0.000,cpu-wins
332,COLUMN_1_4#332,0,0.000,0.000,cpu-wins
333,COLUMN_2_4#333,0,1.000,0.000,gpu-wins
334,COLUMN_3_4#334,0,0.000,0.000,cpu-wins
335,COLUMN_0_5#335,298,2.000,7.000,cpu-wins
336,COLUMN_1_5#336,298,1.000,8.000,cpu-wins
337,COLUMN_2_5#337,298,2.000,9.000,cpu-wins
338,COLUMN_3_5#338,298,1.000,7.000,cpu-wins
339,COLUMN_0_6#339,0,0.000,0.000,cpu-wins
340,COLUMN_1_6#340,0,0.000,0.000,cpu-wins
341,COLUMN_2_6#341,0,0.000,0.000,cpu-wins
342,COLUMN_3_6#342,0,0.000,0.000,cpu-wins
343,COLUMN_0_7#343,298,2.000,7.000,cpu-wins
344,COLUMN_1_7#344,298,1.000,13.000,cpu-wins
345,COLUMN_2_7#345,298,2.000,8.000,cpu-wins
346,COLUMN_3_7#346,298,1.000,9.000,cpu-wins
347,COLUMN_0_8#347,144,1.000,11.000,cpu-wins
348,COLUMN_1_8#348,144,1.000,9.000,cpu-wins
349,COLUMN_2_8#349,144,2.000,9.000,cpu-wins
350,COLUMN_3_8#350,144,1.000,9.000,cpu-wins
351,COLUMN_0_9#351,144,1.000,5.000,cpu-wins
352,COLUMN_1_9#352,144,1.000,9.000,cpu-wins
353,COLUMN_2_9#353,144,2.000,9.000,cpu-wins
354,COLUMN_3_9#354,144,1.000,8.000,cpu-wins
355,ZK_COLUMN_0#355,10,0.000,18.000,cpu-wins
356,ZK_COLUMN_1#356,10,1.000,12.000,cpu-wins
357,ZK_COLUMN_2#357,10,1.000,12.000,cpu-wins
358,ZK_COLUMN_3#358,10,0.000,12.000,cpu-wins
359,MERGED_COLUMN_0#359,1332,1.000,13.000,cpu-wins
360,MERGED_COLUMN_1#360,1332,3.000,12.000,cpu-wins
361,MERGED_COLUMN_2#361,1332,3.000,11.000,cpu-wins
362,MERGED_COLUMN_3#362,1332,2.000,11.000,cpu-wins
363,DEGREE_CHECK_POLY#363,298,2.000,10.000,cpu-wins
364,SHPLONK_BATCHED_QUOTIENT#364,1332,7.000,12.000,cpu-wins
365,?#365,1332,7.000,12.000,cpu-wins
366,W_L#366,43314,40.000,38.000,gpu-wins
367,W_R#367,43314,36.000,29.000,gpu-wins
368,W_O#368,43314,38.000,32.000,gpu-wins
369,ECC_OP_WIRE_1#369,673,1.000,16.000,cpu-wins
370,ECC_OP_WIRE_2#370,673,2.000,12.000,cpu-wins
371,ECC_OP_WIRE_3#371,673,2.000,12.000,cpu-wins
372,ECC_OP_WIRE_4#372,673,2.000,12.000,cpu-wins
373,KERNEL_CALLDATA#373,1285,1.000,14.000,cpu-wins
374,KERNEL_CALLDATA_READ_COUNTS#374,1285,0.000,8.000,cpu-wins
375,FIRST_APP_CALLDATA#375,4,1.000,21.000,cpu-wins
376,FIRST_APP_CALLDATA_READ_COUNTS#376,4,0.000,16.000,cpu-wins
377,SECOND_APP_CALLDATA#377,4,0.000,18.000,cpu-wins
378,SECOND_APP_CALLDATA_READ_COUNTS#378,4,0.000,19.000,cpu-wins
379,THIRD_APP_CALLDATA#379,4,0.000,19.000,cpu-wins
380,THIRD_APP_CALLDATA_READ_COUNTS#380,4,0.000,19.000,cpu-wins
381,RETURN_DATA#381,4,0.000,21.000,cpu-wins
382,RETURN_DATA_READ_COUNTS#382,4,1.000,19.000,cpu-wins
383,LOOKUP_READ_COUNTS#383,673,1.000,6.000,cpu-wins
384,LOOKUP_READ_TAGS#384,673,0.000,10.000,cpu-wins
385,W_4#385,43314,34.000,36.000,cpu-wins
386,LOOKUP_INVERSES#386,673,0.000,7.000,cpu-wins
387,KERNEL_CALLDATA_INVERSES#387,1285,1.000,9.000,cpu-wins
388,FIRST_APP_CALLDATA_INVERSES#388,673,0.000,6.000,cpu-wins
389,SECOND_APP_CALLDATA_INVERSES#389,673,0.000,7.000,cpu-wins
390,THIRD_APP_CALLDATA_INVERSES#390,673,1.000,6.000,cpu-wins
